answer,answer_count,caption,confidence,end_seconds,end_timestamp,flags,modality,pair_index,question,question_count,recommended_action,section,segment_confidence,segment_id,severity,side,source_files,source_media,source_prefix,source_unit_index,split_status,start_seconds,start_timestamp,task_label,timestamp
At least three.,1,"In frame 1140, there is a thermal pattern on the rear of the parked sedan suggesting a license plate. In frame 1440, a similar pattern appears on the rear of the white camper. These are rectangular shapes with low thermal contrast compared to the vehicle body, likely identifying the vehicles.",0.75,53.0,00:00:53.000,[],ir,5,How many license plates are passed?,1,keep,text_recognition,0.95,ride_a_bike_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_ir.mp4,ride_a_bike_day,40,single,0.0,00:00:00.000,riding a bike,
No.,1,"In frame 1140, there is a thermal pattern on the rear of the parked sedan suggesting a license plate. In frame 1440, a similar pattern appears on the rear of the white camper. These are rectangular shapes with low thermal contrast compared to the vehicle body, likely identifying the vehicles.",0.75,53.0,00:00:53.000,"[""short_answer""]",ir,6,Is the text on the camper readable?,1,review,text_recognition,0.95,ride_a_bike_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_ir.mp4,ride_a_bike_day,40,single,0.0,00:00:00.000,riding a bike,
Rear of vehicle.,1,"In frame 1140, there is a thermal pattern on the rear of the parked sedan suggesting a license plate. In frame 1440, a similar pattern appears on the rear of the white camper. These are rectangular shapes with low thermal contrast compared to the vehicle body, likely identifying the vehicles.",0.75,53.0,00:00:53.000,[],ir,7,Where is the car plate located?,1,keep,text_recognition,0.95,ride_a_bike_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_ir.mp4,ride_a_bike_day,40,single,0.0,00:00:00.000,riding a bike,
Registration.,1,"In frame 1140, there is a thermal pattern on the rear of the parked sedan suggesting a license plate. In frame 1440, a similar pattern appears on the rear of the white camper. These are rectangular shapes with low thermal contrast compared to the vehicle body, likely identifying the vehicles.",0.75,53.0,00:00:53.000,"[""short_answer""]",ir,8,What is the purpose of these plates?,1,review,text_recognition,0.95,ride_a_bike_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_ir.mp4,ride_a_bike_day,40,single,0.0,00:00:00.000,riding a bike,
The dominant sounds are the wind and the tires rolling on the pavement.,1,The primary sound sources are the wind blowing against the microphone and the friction of the bike tires on the asphalt surface.,0.8,53.0,00:00:53.000,[],audio,1,What are the dominant sound sources heard while riding the bike?,1,keep,audio_sound_source_identification,0.95,ride_a_bike_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day.m4a,ride_a_bike_day,41,single,0.0,00:00:00.000,riding a bike,00:00 - 00:53
Parking the front wheel in it.,1,I am parking and securing my bicycle. I push the front wheel into the metal rack and then begin to interact with a folding lock to secure the frame to the rack. This ensures the bike is stored safely and protected from theft.,0.85,98.5,00:01:38.500,[],rgb,1,What am I doing with the metal rack at the end of the segment?,1,keep,action,0.9,ride_a_bike_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,0,single,53.0,00:00:53.000,parking and securing the bike,
At least five.,1,There are at least 15 bikes parked in this section of the room. I can count 10 metal rack slots in the immediate area where I park my bike. There are also several black bike locks visible hanging from frames or racks.,0.85,98.5,00:01:38.500,[],rgb,1,How many bikes are visible in the rack directly to the left of where I park?,1,keep,counting,0.9,ride_a_bike_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,1,single,53.0,00:00:53.000,parking and securing the bike,
Zero.,1,Only the subject's hands and the bicycle being moved (frames 1620-2940) are dynamic in this segment. No other people or bikes are moving within the storage room during this time.,0.85,98.5,00:01:38.500,"[""short_answer""]",rgb,1,How many other people are moving around in the storage room?,1,review,dynamic_counting,0.9,ride_a_bike_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,2,single,53.0,00:00:53.000,parking and securing the bike,
No.,1,The movement of the subject's bike as it is pushed into the rack occurs from frame 001620 to 002940. No other dynamic objects are detected in the room.,0.85,98.5,00:01:38.500,"[""short_answer""]",rgb,1,Was there any movement from other bicycles in the room?,1,review,dynamic_recognition,0.9,ride_a_bike_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,3,single,53.0,00:00:53.000,parking and securing the bike,
Darker.,1,"As I move deeper into the room, the lighting becomes slightly more dim compared to the area near the entrance. There is a noticeable shift in light quality from the harsh sunlight outside to the softer, cooler indoor light.",0.85,98.5,00:01:38.500,"[""short_answer""]",rgb,1,Does the scene become brighter or darker as I move into the room?,1,review,light_change,0.9,ride_a_bike_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,4,single,53.0,00:00:53.000,parking and securing the bike,
Artificial overhead lighting.,1,"The room is lit by artificial overhead lights, which appear to be circular ceiling fixtures. The light is diffused, creating soft shadows. The overall illumination level is lower than the outdoor bright sunlight in the previous segment.",0.85,98.5,00:01:38.500,[],rgb,1,What type of light source is used inside the storage room?,1,keep,light_recognition,0.9,ride_a_bike_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,5,single,53.0,00:00:53.000,parking and securing the bike,
Slightly left.,1,"Upon entering, I walk forward about 5 steps and then maneuver the bike slightly to the left to align it with an open rack slot.",0.85,98.5,00:01:38.500,[],rgb,1,Which way do I turn to find the empty parking slot?,1,keep,navigation,0.9,ride_a_bike_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,6,single,53.0,00:00:53.000,parking and securing the bike,
No.,1,"The bike storage room is arranged logically, with racks and bikes placed appropriately for the space. There are no common-sense violations or unrealistic physical phenomena observed in the environment's layout.",0.85,98.5,00:01:38.500,"[""short_answer""]",rgb,1,Is there any furniture or object that seems out of place in this storage room?,1,review,non_common,0.9,ride_a_bike_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,7,single,53.0,00:00:53.000,parking and securing the bike,
Wooden planks.,1,"The scene shifts to the interior of a bicycle storage room. The walls are covered with vertical light-colored wooden planks, and the floor is a dull grey concrete. Several silver metal bicycle racks are installed along the walls. Numerous bicycles of various types and colors (red, white, black, blue) are parked within these racks. My bike, which is silver and black, is moved into one of the empty slots. The room is enclosed and appears to be part of a modern apartment or office complex.",0.85,98.5,00:01:38.500,[],rgb,1,What material covers the walls of the bike storage room?,1,keep,object_recognition,0.9,ride_a_bike_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,8,single,53.0,00:00:53.000,parking and securing the bike,
Find an empty rack and park the bike.,1,"I enter the storage room, walk past several rows of already parked bicycles, and identify an empty space in the metal rack. I then guide my front wheel into the rack to secure the bike.",0.85,98.5,00:01:38.500,[],rgb,1,What do I do after entering the storage room?,1,keep,scene_sequence,0.9,ride_a_bike_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,9,single,53.0,00:00:53.000,parking and securing the bike,
Inside the rack slots.,1,The metal racks are anchored to the ground and positioned directly against the wooden walls. The bikes are placed within the parallel metal bars of the racks. My bike is moved from the center of the room into a specific rack slot on the left. I am standing about 2 steps away from the rack before placing the bike inside.,0.85,98.5,00:01:38.500,[],rgb,1,Where are the bicycles positioned in relation to the metal racks?,1,keep,spatial_reasoning,0.9,ride_a_bike_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,10,single,53.0,00:00:53.000,parking and securing the bike,
TEMPT.,1,"Several brand names are visible on the frames of the parked bikes: 'GIANT' on a black frame (frame 2250), 'HERCULES' on a dark city bike (frame 2310), and 'TEMPT' on a white mountain bike (frame 2550). These labels identify the manufacturers of the bicycles stored in the facility.",0.85,98.5,00:01:38.500,"[""short_answer"", ""frame_reference""]",rgb,1,What brand name is visible on the white bike frame next to mine?,1,review,text_recognition,0.9,ride_a_bike_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_rgb.mp4,ride_a_bike_day,11,single,53.0,00:00:53.000,parking and securing the bike,
Manipulating a lock.,1,"I am parking and securing a bicycle. I steer the bike into a designated rack slot, bringing it to a halt. I then release the handlebars and reach forward with both hands to manipulate a lock. The event activity shows a sequence of reaching, gripping, threading the lock through the bike and rack, and finally clicking it shut. My body position remains steady over the bike throughout this process.",0.85,98.5,00:01:38.500,[],event,1,What am I doing with my hands after stopping the bike?,1,keep,event_action,0.9,ride_a_bike_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_event.mp4,ride_a_bike_day,12,single,53.0,00:00:53.000,parking and securing the bike,
8,1,"Inside the storage area, I pass several rows of bike racks, approximately 8 distinct rack units. I pass about 12 other parked bicycles. My own bicycle consists of two main moving regions in the frame: the handlebars and the front wheel. I perform one continuous locking action involving a metal cable lock. The storage area has two main walls visible as large static boundaries.",0.85,98.5,00:01:38.500,"[""short_answer""]",event,1,How many distinct bike rack units do I pass?,1,review,event_counting,0.9,ride_a_bike_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_event.mp4,ride_a_bike_day,13,single,53.0,00:00:53.000,parking and securing the bike,
0,1,The primary dynamic entities are my hands and my bike. My hands move into and out of the center frame approximately 4 times while fiddling with the lock. The bike's handlebars move as I position the wheel into the rack. No other moving humans or objects are present in the storage area during this segment.,0.85,98.5,00:01:38.500,"[""short_answer""]",event,1,How many other moving people are in the storage room?,1,review,event_dynamic_counting,0.9,ride_a_bike_day_seg_002,quality_warning,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_event.mp4,ride_a_bike_day,14,single,53.0,00:00:53.000,parking and securing the bike,
At 78 seconds.,1,"My bike's wheel moves forward and enters a rack slot at 72 seconds. My left and right hands appear in the frame starting at 78 seconds, performing fine-motor tasks. The hands manipulate a lock around the rack, with the activity concluding as the hands pull away from the secure bike around 97 seconds. The other bikes in the room remain completely stationary.",0.85,98.5,00:01:38.500,[],event,1,When do my hands first appear to secure the lock?,1,keep,event_dynamic_recognition,0.9,ride_a_bike_day_seg_002,pass,day,"{""videos"": {""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4"", ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4""}, ""audio"": ""dataset\\ride_a_bike_split\\ride_a_bike_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_rgb.mp4"", ""event"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_event.mp4"", ""depth"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_depth.mp4"", ""ir"": ""dataset\\ride_a_bike_split\\ride_a_bike_day_ir.mp4""}",dataset\ride_a_bike_split\ride_a_bike_day_event.mp4,ride_a_bike_day,15,single,53.0,00:00:53.000,parking and securing the bike,
