answer,answer_count,caption,flags,modality,pair_key,qa_index,question,question_count,recommended_action,section,severity,source_file,source_status,split_status
"A desk lamp, a USB-C hub, a small notebook, a pen, a smartphone, and a white earbud case.",1,"The video shows a workstation setup featuring a laptop, a desk lamp with a stand, a USB-C hub, various cables, a small notebook, a pen, a smartphone, and a white wireless earbud case.",[],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,What items are placed on the desk besides the laptop?,1,keep,object_recognition,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
The small notebook is located directly in front of the laptop.,1,"The desk lamp is to the left of the laptop. The USB-C hub is connected to the left side of the laptop. The small notebook is placed directly in front of the laptop. A smartphone is near the right edge, and the earbud case is near the right corner of the desk.",[],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,Where is the small notebook located in relation to the laptop?,1,keep,spatial_reasoning,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
The notebook contains a list of alphabetical characters.,1,"The laptop screen shows a web interface, likely a forum or social media site, with various text entries and interface elements. Frame 0 identifies the browser interface. The paper on the desk contains a list of alphabetical characters, likely for reference.",[],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,What is written on the small notebook on the desk?,1,keep,text_recognition,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
"No, the camera maintains a consistent, static first-person view of the desk throughout the video.",1,The video provides a consistent view of a desk from a first-person perspective. The sequence remains static as the camera focuses on the desk surface while the user interacts with the laptop using a pen on the trackpad.,['frame_reference'],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,Does the camera change its perspective during the video?,1,review,scene_sequence,quality_warning,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
The primary light sources are the laptop screen and the desk lamp.,1,"The scene is lit by the ambient light from the screen of the laptop, which serves as a primary source of illumination for the desk area, and a desk lamp on the left side of the desk.",[],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,What is the primary source of light illuminating the desk area?,1,keep,light_recognition,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
"No, the light level remained stable throughout the video.",1,"The illumination levels are relatively stable throughout the video. The light cast by the laptop screen remains constant while the user is active, with no significant changes in brightness.",['frame_reference'],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,Did the light level change significantly during the video?,1,review,light_change,quality_warning,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
There are 7 distinct items.,1,"The objects on the desk include: 1 laptop, 1 lamp, 1 USB-C hub, 1 notebook, 1 pen, 1 smartphone, and 1 earbud case.",[],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,"How many items, including electronic devices and stationery, can be identified on the desk?",1,keep,counting,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
One person.,1,The only dynamic action is the user's hand moving a pen over the laptop's trackpad.,['frame_reference'],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,How many people are interacting with the desk items in the video?,1,review,dynamic_counting,quality_warning,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
"No, all objects are placed normally on the desk surface.",1,"The desk layout is functional and organized. No obvious physical laws are violated, and no objects are floating or clipping through surfaces.",['duplicate_question'],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,Are there any objects in the scene that appear to be floating or violating physical laws?,1,review,non_common,quality_warning,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
"No, the camera is stationary.",1,The video is stationary; there is no navigation through a room. The perspective is fixed looking down at the desk.,['frame_reference'],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,Does the video show the camera moving through different rooms?,1,review,navigation,quality_warning,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
"Yes, the user's hand is moving while using the pen on the trackpad.",1,The hand interacting with the laptop is the only moving object in the scene. Start frame: 0; End frame: 870.,[],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,Is there any object in motion in the scene?,1,keep,dynamic_recognition,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
The subject is using the pen to operate the laptop's trackpad.,1,The subject is using a pen to operate the trackpad of their laptop to navigate a website.,[],ir,aligned_dataset/use_computer_split/Seg5/use_computer_ir,1,What is the subject doing with the pen and the laptop?,1,keep,action,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
Three rectangular frames with map-like graphics.,1,"The video features an indoor staircase and a hallway corridor with multiple framed posters on the wall. Key objects identified include a metal handrail attached to the wall, a second metal handrail on a staircase, tiled flooring, and three rectangular wall-mounted frames with map-like graphics labeled 'EARTH OBSERVATION RESEARCH'. Thermal contrasts are visible on the floor and wall surfaces due to natural lighting.",[],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,What is the primary visual feature mounted on the wall within the hallway area?,1,keep,object_recognition,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
It is mounted on the wall to the right of the staircase.,1,"Spatial relationships: 1. The handrail is mounted on the wall to my right, 2 steps away. 2. The posters are positioned on the main wall, about 3 steps ahead. 3. The staircase railing is to my left, 1 step away. 4. The glass door leading to the hallway is 4 steps in front of me. 5. The tiled floor extends from the staircase base towards the hallway, spanning approximately 5 steps.",[],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,Where is the wall-mounted handrail located in relation to the staircase?,1,keep,spatial_reasoning,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
EARTH OBSERVATION RESEARCH.,1,"In frame 120 and beyond, I identify thermal text-like patterns on posters. The text reads 'EARTH OBSERVATION RESEARCH'. These are likely scientific or educational posters located in a university or research institute corridor.",[],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,What text is displayed on the posters located on the wall?,1,keep,text_recognition,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
"I descend a staircase, cross a landing, and walk through a glass door into a long hallway.",1,"The video sequence begins at the top of a short flight of stairs, progresses down the stairs, moves across the tiled landing, and proceeds through a glass door into a long, dimly lit hallway with multiple doors and overhead lights.",['frame_reference'],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,What is the sequence of areas I traverse throughout the video?,1,review,scene_sequence,quality_warning,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
Natural light from windows.,1,"The video shows light entering through windows at the top of the stairs, casting bright, elongated thermal patches on the walls and doors. Artificial overhead lighting is present in the hallway corridor further into the video.",[],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,What is the primary source of the bright thermal patches observed on the walls near the stairs?,1,keep,light_recognition,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
"It transitions from bright, natural light at the top of the stairs to uniform artificial overhead lighting in the hallway.",1,"The video starts in a bright, naturally lit area at the top of the stairs and transitions into a corridor where artificial overhead lights provide the main illumination. The light becomes more uniform as I move deeper into the hallway.",[],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,How does the illumination change as I move through the space?,1,keep,light_change,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
Three.,1,"Objects identified: 1 staircase, 1 landing, 3 posters, 1 glass door, 6 overhead lights in the corridor.",['short_answer'],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,How many posters are visible on the wall in the corridor?,1,review,counting,quality_warning,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
One.,1,"One person enters the hallway through a door in the distance near the end of the video sequence, moving from frame 750 to 870.",['short_answer'],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,How many people appear walking in the hallway?,1,review,dynamic_counting,quality_warning,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
"No, the layout is consistent and no objects are floating.",1,"The layout is consistent with standard institutional architecture. No floating objects or significant mesh clipping were observed; however, the bright thermal reflection on the wall might be misinterpreted as a physical object due to extreme contrast.",[],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,Are there any floating objects or layout design errors observed in the scene?,1,keep,non_common,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
"Go down the stairs, cross the landing, go through the glass door, and walk straight down the hallway.",1,"To navigate, I proceed forward down the stairs, turn slightly to approach the door, and then continue walking straight down the length of the corridor.",[],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,What is the path to travel through the entire observed area?,1,keep,navigation,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
A person walks through the hallway.,1,"A person is observed walking in the hallway, starting at frame 750 and exiting/fading at frame 870.",[],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,What dynamic event occurs within the hallway?,1,keep,dynamic_recognition,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
Walking through a building.,1,"I am walking through a building, transitioning from a staircase area into an office or research department hallway.",['frame_reference'],ir,aligned_dataset/walk_upstairs_split/Seg1/walk_upstairs_ir,1,What is my primary action while filming the video?,1,review,action,quality_warning,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
There are several glass tumblers stored on the middle shelf.,1,"The video features a kitchen area. Key objects identified include a white wall-mounted cabinet, a set of glass tumblers on the middle shelf, several white ceramic mugs on the bottom shelf, a metal mixing bowl on the top shelf, a black electric kettle, a dish soap bottle, a small sponge, and a metal sink.",[],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,1,What items are stored on the middle shelf of the kitchen cabinet?,1,keep,object_recognition,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
The black electric kettle is positioned to the right of the white ceramic mugs.,1,"The glass tumblers are positioned on the middle shelf, to the left of the mugs. The electric kettle is situated on the bottom shelf, to the right of the ceramic mugs. The sink is directly below the cabinet. The dish soap is located on the counter next to the sink. The distance from me to the cabinet is about 2 steps; the sink is about 1 step away.",[],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,1,Where is the black electric kettle located in relation to the white ceramic mugs inside the cabinet?,1,keep,spatial_reasoning,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
There are no identifiable text-like patterns visible.,8,"In the kitchen, there are several mugs on a shelf (frame 1-15). There is no specific text-like pattern or writing visible on these kitchen objects that can be identified in this IR video sequence.",['multi_question'],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,1,What text-like patterns are visible on the kitchen shelves?,8,split,text_recognition,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
No text is visible on the mugs.,8,"In the kitchen, there are several mugs on a shelf (frame 1-15). There is no specific text-like pattern or writing visible on these kitchen objects that can be identified in this IR video sequence.",['multi_question'],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,2,Is there any text on the mugs?,8,split,text_recognition,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
No brand names are visible on the sink accessories.,8,"In the kitchen, there are several mugs on a shelf (frame 1-15). There is no specific text-like pattern or writing visible on these kitchen objects that can be identified in this IR video sequence.",['multi_question'],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,3,Can you identify any brand names on the sink accessories?,8,split,text_recognition,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
No writing is visible on the storage boxes.,8,"In the kitchen, there are several mugs on a shelf (frame 1-15). There is no specific text-like pattern or writing visible on these kitchen objects that can be identified in this IR video sequence.",['multi_question'],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,4,What writing is present on the storage boxes?,8,split,text_recognition,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
The kettle does not display any visible text or labels.,8,"In the kitchen, there are several mugs on a shelf (frame 1-15). There is no specific text-like pattern or writing visible on these kitchen objects that can be identified in this IR video sequence.",['multi_question'],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,5,Does the kettle display any digital text or labels?,8,split,text_recognition,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
No warning signs or instructions are visible.,8,"In the kitchen, there are several mugs on a shelf (frame 1-15). There is no specific text-like pattern or writing visible on these kitchen objects that can be identified in this IR video sequence.",['multi_question'],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,6,Are there any warning signs or instructions visible in the kitchen area?,8,split,text_recognition,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
No text is readable on the bottle near the sink.,8,"In the kitchen, there are several mugs on a shelf (frame 1-15). There is no specific text-like pattern or writing visible on these kitchen objects that can be identified in this IR video sequence.",['multi_question'],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,7,Can you read any text from the bottle near the sink?,8,split,text_recognition,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
There are zero items with identifiable text labels present.,8,"In the kitchen, there are several mugs on a shelf (frame 1-15). There is no specific text-like pattern or writing visible on these kitchen objects that can be identified in this IR video sequence.",['multi_question'],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,8,How many text-labeled items are present in the kitchen?,8,split,text_recognition,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
The first scene is inside a kitchen cupboard with mugs and a bowl.,10,"The video starts with a view inside a kitchen cupboard showing bowls and mugs. The scene then pans downwards to a kitchen sink area. After that, the view shifts to the subject interacting with the sink area, and finally, the video transitions to darkness, likely indicating a light-out or obstruction.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,1,What is the first scene I see when I open the cupboard?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
I transition to the kitchen sink area.,10,"The video starts with a view inside a kitchen cupboard showing bowls and mugs. The scene then pans downwards to a kitchen sink area. After that, the view shifts to the subject interacting with the sink area, and finally, the video transitions to darkness, likely indicating a light-out or obstruction.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,2,Which area do I transition to after viewing the interior of the cupboard?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
I interact with a mug and a sponge at the sink.,10,"The video starts with a view inside a kitchen cupboard showing bowls and mugs. The scene then pans downwards to a kitchen sink area. After that, the view shifts to the subject interacting with the sink area, and finally, the video transitions to darkness, likely indicating a light-out or obstruction.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,3,What object do I interact with in the kitchen sink area?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
The primary focus was the interior of the cupboard.,10,"The video starts with a view inside a kitchen cupboard showing bowls and mugs. The scene then pans downwards to a kitchen sink area. After that, the view shifts to the subject interacting with the sink area, and finally, the video transitions to darkness, likely indicating a light-out or obstruction.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,4,"Before the kitchen sink, what was the primary focus of my view?",10,split,scene_sequence,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
The video transitions to darkness.,10,"The video starts with a view inside a kitchen cupboard showing bowls and mugs. The scene then pans downwards to a kitchen sink area. After that, the view shifts to the subject interacting with the sink area, and finally, the video transitions to darkness, likely indicating a light-out or obstruction.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,5,What follows the interaction with the kitchen sink?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
"No, the cupboard interior was the initial scene.",10,"The video starts with a view inside a kitchen cupboard showing bowls and mugs. The scene then pans downwards to a kitchen sink area. After that, the view shifts to the subject interacting with the sink area, and finally, the video transitions to darkness, likely indicating a light-out or obstruction.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,6,Is the cupboard interior the final scene of the video?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
A downward pan connects the cupboard view to the sink view.,10,"The video starts with a view inside a kitchen cupboard showing bowls and mugs. The scene then pans downwards to a kitchen sink area. After that, the view shifts to the subject interacting with the sink area, and finally, the video transitions to darkness, likely indicating a light-out or obstruction.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,7,What connects the view of the cupboard and the sink?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
I am at the kitchen sink area before the screen turns dark.,10,"The video starts with a view inside a kitchen cupboard showing bowls and mugs. The scene then pans downwards to a kitchen sink area. After that, the view shifts to the subject interacting with the sink area, and finally, the video transitions to darkness, likely indicating a light-out or obstruction.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,8,Which part of the kitchen do I visit last before the screen goes dark?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
"The sequence is cupboard view, followed by kitchen sink view, then darkness.",10,"The video starts with a view inside a kitchen cupboard showing bowls and mugs. The scene then pans downwards to a kitchen sink area. After that, the view shifts to the subject interacting with the sink area, and finally, the video transitions to darkness, likely indicating a light-out or obstruction.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,9,What is the sequence of the main areas shown?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
"I start by looking at cupboard contents, then move to wash a mug at the sink.",10,"The video starts with a view inside a kitchen cupboard showing bowls and mugs. The scene then pans downwards to a kitchen sink area. After that, the view shifts to the subject interacting with the sink area, and finally, the video transitions to darkness, likely indicating a light-out or obstruction.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,10,Can you identify the sequence of operations performed in the kitchen?,10,split,scene_sequence,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
The primary source of illumination becomes the light from a mobile phone.,1,"The scene is initially illuminated by ambient kitchen light, followed by a transition where the scene becomes dark as the light is turned off, and finally, a bright phone flashlight is used to illuminate the sink area.",[],ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,1,What is the primary source of illumination once the main kitchen light is turned off?,1,keep,light_recognition,pass,qa_pairs/aligned/ir_qa_results_aligned.json,single,single
The lights appear to turn off as the screen becomes black.,8,"The video starts in a well-lit kitchen environment. Towards the end of the sequence, the environment undergoes a drastic transition to total darkness (black screen).","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,1,Did the lights in the kitchen turn on or off?,8,split,light_change,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
The environment becomes much darker by the end.,8,"The video starts in a well-lit kitchen environment. Towards the end of the sequence, the environment undergoes a drastic transition to total darkness (black screen).","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,2,Is the environment getting brighter or darker as the video progresses?,8,split,light_change,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
"Yes, there is a sudden change to blackness.",8,"The video starts in a well-lit kitchen environment. Towards the end of the sequence, the environment undergoes a drastic transition to total darkness (black screen).","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,3,Was there a sudden change in illumination?,8,split,light_change,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
The significant decrease happens near the end of the video.,8,"The video starts in a well-lit kitchen environment. Towards the end of the sequence, the environment undergoes a drastic transition to total darkness (black screen).","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,4,At what stage of the video does the light level decrease significantly?,8,split,light_change,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
"The general illumination disappears, making the scene black.",8,"The video starts in a well-lit kitchen environment. Towards the end of the sequence, the environment undergoes a drastic transition to total darkness (black screen).","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,5,Is there a light source that is fading out?,8,split,light_change,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
"No, the final scene is entirely dark.",8,"The video starts in a well-lit kitchen environment. Towards the end of the sequence, the environment undergoes a drastic transition to total darkness (black screen).","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,6,Does the final scene show any light?,8,split,light_change,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
"The beginning is well-lit, while the end is in total darkness.",8,"The video starts in a well-lit kitchen environment. Towards the end of the sequence, the environment undergoes a drastic transition to total darkness (black screen).","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,7,How does the illumination change compared to the beginning?,8,split,light_change,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
"Yes, the room is completely dark by the end.",8,"The video starts in a well-lit kitchen environment. Towards the end of the sequence, the environment undergoes a drastic transition to total darkness (black screen).","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,8,Is the room completely dark by the end?,8,split,light_change,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
There are 6 white mugs on the counter.,10,"In the kitchen, the following objects are identified: 1 stainless steel mixing bowl, 5 glasses, 1 mug with patterns, 6 white mugs on the counter, 1 soap dispenser, 1 dish soap bottle, 1 kettle, and 1 kitchen sponge.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,1,How many white mugs can be counted on the counter?,10,split,counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
There are 5 glasses.,10,"In the kitchen, the following objects are identified: 1 stainless steel mixing bowl, 5 glasses, 1 mug with patterns, 6 white mugs on the counter, 1 soap dispenser, 1 dish soap bottle, 1 kettle, and 1 kitchen sponge.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,2,How many glasses are stored on the cupboard shelf?,10,split,counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
"Including the patterned one, there are 7 mugs total.",10,"In the kitchen, the following objects are identified: 1 stainless steel mixing bowl, 5 glasses, 1 mug with patterns, 6 white mugs on the counter, 1 soap dispenser, 1 dish soap bottle, 1 kettle, and 1 kitchen sponge.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,3,Can you count the total number of mugs including the patterned one?,10,split,counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
There are 2 soap-related items (a dispenser and a bottle).,10,"In the kitchen, the following objects are identified: 1 stainless steel mixing bowl, 5 glasses, 1 mug with patterns, 6 white mugs on the counter, 1 soap dispenser, 1 dish soap bottle, 1 kettle, and 1 kitchen sponge.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,4,How many soap-related items are present at the sink?,10,split,counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
There is 1 stainless steel bowl.,10,"In the kitchen, the following objects are identified: 1 stainless steel mixing bowl, 5 glasses, 1 mug with patterns, 6 white mugs on the counter, 1 soap dispenser, 1 dish soap bottle, 1 kettle, and 1 kitchen sponge.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,5,How many bowls are visible in the cupboard?,10,split,counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
There is 1 kettle.,10,"In the kitchen, the following objects are identified: 1 stainless steel mixing bowl, 5 glasses, 1 mug with patterns, 6 white mugs on the counter, 1 soap dispenser, 1 dish soap bottle, 1 kettle, and 1 kitchen sponge.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,6,How many total kitchen appliances can be seen?,10,split,counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
"There are 11 items on the shelf (1 bowl, 5 glasses, 4 mugs, 1 container).",10,"In the kitchen, the following objects are identified: 1 stainless steel mixing bowl, 5 glasses, 1 mug with patterns, 6 white mugs on the counter, 1 soap dispenser, 1 dish soap bottle, 1 kettle, and 1 kitchen sponge.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,7,How many items are stored on the middle shelf of the cupboard?,10,split,counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
There is 1 sponge.,10,"In the kitchen, the following objects are identified: 1 stainless steel mixing bowl, 5 glasses, 1 mug with patterns, 6 white mugs on the counter, 1 soap dispenser, 1 dish soap bottle, 1 kettle, and 1 kitchen sponge.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,8,How many sponges are used at the sink?,10,split,counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
There are 2 types (glasses and mugs).,10,"In the kitchen, the following objects are identified: 1 stainless steel mixing bowl, 5 glasses, 1 mug with patterns, 6 white mugs on the counter, 1 soap dispenser, 1 dish soap bottle, 1 kettle, and 1 kitchen sponge.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,9,How many different types of drinking vessels are on the shelf?,10,split,counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
A total of 7 mugs are identified.,10,"In the kitchen, the following objects are identified: 1 stainless steel mixing bowl, 5 glasses, 1 mug with patterns, 6 white mugs on the counter, 1 soap dispenser, 1 dish soap bottle, 1 kettle, and 1 kitchen sponge.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,10,What is the total count of mugs identified in the video?,10,split,counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
There are no moving objects present besides the subject's hand.,8,"In this sequence, the main dynamic object is the hand of the subject, which moves to interact with the mugs and sink items. There are no other independent moving objects or humans present.","['multi_question', 'frame_reference']",ir,aligned_dataset/wash_cup_and_drink_water_split/Seg1/wash_cup_and_drink_water_ir,1,How many moving objects are present in the kitchen besides the subject?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/ir_qa_results_aligned.json,split_from_numbered_list,aligned
